x,y,Frequency,Duration,Severity,Peak
5.25,47.5,13,5.3,-105.6,-2.7
5.5,47.5,13,6.1,-119,-2.4
5.75,47.5,10,6.4,-101.7,-2.3
6,47.5,11,5.8,-100.7,-2.5
6.25,47.5,12,6.3,-114.1,-2.3
6.5,47.5,15,5.8,-127.3,-2.3
6.75,47.5,12,6.8,-120.4,-2.2
7,47.5,12,6.3,-114.6,-2.3
7.25,47.5,11,6.6,-111.6,-2.8
7.5,47.5,11,7.5,-119.69999999999999,-2.6
7.75,47.5,13,5.5,-105.8,-2.7
8,47.5,13,5.4,-103.3,-2.5
8.25,47.5,11,5.8,-99.5,-2.7
8.5,47.5,10,6.8,-108.9,-3.1
8.75,47.5,9,8.2,-118.6,-3.2
9,47.5,10,7.1,-114,-3.1
9.25,47.5,14,5.8,-123,-3
9.5,47.5,15,5.1,-116.39999999999999,-2.9
9.75,47.5,13,5.1,-103.7,-3
10,47.5,13,5.1,-100.4,-2.8
10.25,47.5,12,5.1,-92.4,-3
10.5,47.5,12,5.2,-93.5,-3
10.75,47.5,12,5.1,-91.3,-2.9
11,47.5,13,5.5,-106.3,-2.9
11.25,47.5,14,5.6,-114.4,-2.7
11.5,47.5,12,6.2,-113.7,-2.5
11.75,47.5,11,6.4,-108.9,-2.5
12,47.5,12,6.2,-113.9,-2.7
12.25,47.5,12,6.2,-115.8,-2.8
12.5,47.5,13,6.2,-123.9,-2.8
12.75,47.5,13,6,-122.5,-2.8
13,47.5,14,5.9,-131.5,-2.9
13.25,47.5,14,5.9,-133,-3
13.5,47.5,13,6.1,-129.7,-2.9
13.75,47.5,13,6.5,-139.1,-2.8
14,47.5,10,7.2,-121.89999999999999,-2.8
14.25,47.5,12,6.7,-128.4,-2.7
14.5,47.5,11,7.3,-122.60000000000001,-2.5
5.25,47.25,12,5.8,-104.1,-2.5
5.5,47.25,11,5.6,-98.1,-2.2
5.75,47.25,13,5.5,-110.2,-2.4
6,47.25,16,5.1,-121.6,-2.5
