id_i;Mean_Distance_km;Nodo;dominant_outward_orientation_1;dominant_outward_orientation_2;dominant_outward_orientation_3;dominant_inward_orientation_1;dominant_inward_orientation_2;dist_dominant_outward_1;dist_dominant_outward_2;dist_dominant_outward_3;InStrength;OutStrength;NetworkDivergence;id;lat;lon;normal_InStrength;normal_OutStrength;DegreeCentrality;Clustering;ClosenessCentrality;BetweennessCentrality;StructuralHolesConstraint;global_clustering;normal_Degree;normal_Clustering;normal_ClosenessCentrality;normal_BetweennessCentrality;normal_StructuralHolesConstraint;geometry;index_right;AREA;PERIMETER;BASINNAME;BASINCODE;OCEAN_1;BASINNAME2;SHAPE_Leng;SHAPE_Le_1;SHAPE_Area;community
629;241,8786979;629;315;;;180;;5,7850685;;;0,000362542;0,000478247;0,000115705;629;46,5;8,5;0,06573427;0,08051948;0,022965879;0,161344538;0,416507242;0,000465062;0,034961359;0,293214218;0,081145585;0,2420168;0,58878654;0,01899771;0,028824387;POINT (8.5 46.5);45;1013,056713;229444,3604;Po;510;Mediterranean Sea;;229444,3604;229444,3604;1013056713;0
630;115,6578248;630;135;;;180;315;3,1092684;;;0,000115705;0,001334465;0,00121876;630;46,5;8,75;0,02097902;0,22467533;0,022309711;0,215686275;0,383685801;0,000170522;0,038373396;0,293214218;0,07875895;0,32352942;0,46497568;0,006965815;0,032258123;POINT (8.75 46.5);45;1013,056713;229444,3604;Po;510;Mediterranean Sea;;229444,3604;229444,3604;1013056713;0
631;207,0248178;631;135;;;315;;3,681938;;;0,000269978;0,000455106;0,000185128;631;46,5;9;0,04895105;0,07662338;0,010498688;0,175;0,380239521;0,000273013;0,075154991;0,293214218;0,035799522;0,2625;0,45197546;0,011152565;0,06927362;POINT (9 46.5);45;1013,056713;229444,3604;Po;510;Mediterranean Sea;;229444,3604;229444,3604;1013056713;0
692;105,4688636;692;135;;;0;;3,3666506;;;0,000100278;0,001319037;0,00121876;692;46,25;9;0,018181818;0,22207792;0,019028871;0,13546798;0,368917938;0,000171259;0,043621302;0,293214218;0,06682578;0,20320196;0,40926754;0,006995914;0,0375394;POINT (9 46.25);45;1013,056713;229444,3604;Po;510;Mediterranean Sea;;229444,3604;229444,3604;1013056713;0
636;229,0381077;636;180;;;0;;6,2511697;;;0,001203332;0,000269978;-0,000933354;636;46,5;10,25;0,21818182;0,045454547;0,012467192;0,228070175;0,38877551;7,87438E-05;0,057902803;0,293214218;0,042959426;0,34210527;0,48417538;0,003216676;0,051911723;POINT (10.25 46.5);55;1594,862327;270611,8894;Po;510;Mediterranean Sea;;270611,8894;270611,8894;1594862327;0
696;208,3024142;696;135;;;180;;3,925918;;;0,000347115;0,000401111;5,39957E-05;696;46,25;10;0,062937066;0,067532465;0,015748031;0,206521739;0,389371487;0,000121146;0,048277982;0,293214218;0,0548926;0,3097826;0,48642355;0,004948817;0,042225696;POINT (10 46.25);55;1594,862327;270611,8894;Po;510;Mediterranean Sea;;270611,8894;270611,8894;1594862327;0
697;265,4061511;697;135;;;315;;3,532459;;;0,000701944;0,000192842;-0,000509102;697;46,25;10,25;0,12727273;0,032467533;0,019685039;0,163218391;0,407051282;0,000222313;0,038317648;0,293214218;0,06921241;0,24482758;0,55311626;0,009081454;0,03220202;POINT (10.25 46.25);55;1594,862327;270611,8894;Po;510;Mediterranean Sea;;270611,8894;270611,8894;1594862327;0
688;123,8166142;688;135;;;0;;2,608012;;;0,000439679;0,000431965;-7,71367E-06;688;46,25;8;0,07972028;0,07272727;0,05183727;0,208698475;0,404351287;0,000813906;0,018749652;0,293214218;0,18615752;0,3130477;0,5429312;0,033247955;0,012509584;POINT (8 46.25);9;1873,031336;331833,6257;Po;510;Mediterranean Sea;;331833,6257;331833,6257;1873031336;0
689;142,4943427;689;315;;;180;;5,718335;;;0,000624807;0,000208269;-0,000416538;689;46,25;8,25;0,11328671;0,035064936;0,041994751;0,223214286;0,419603524;0,000802464;0,021793304;0,293214218;0,15035799;0,33482143;0,6004665;0,032780554;0,015572592;POINT (8.25 46.25);9;1873,031336;331833,6257;Po;510;Mediterranean Sea;;331833,6257;331833,6257;1873031336;0
749;123,8705993;749;315;;;0;;6,1216226;;;0,000493675;0,000362542;-0,000131132;749;46;8;0,08951049;0,06103896;0,011154856;0,220588235;0,370082564;4,16638E-05;0,063980317;0,293214218;0,03818616;0,33088234;0,41366082;0,001701961;0,058027886;POINT (8 46);9;1873,031336;331833,6257;Po;510;Mediterranean Sea;;331833,6257;331833,6257;1873031336;0
750;219,2928648;750;315;;;0;;6,035898;;;0,000709658;0,000401111;-0,000308547;750;46;8,25;0,12867133;0,067532465;0,004593176;0,380952381;0,340863342;3,25541E-06;0,160811279;0,293214218;0,014319809;0,5714286;0,30343848;0,000132983;0,15547462;POINT (8.25 46);9;1873,031336;331833,6257;Po;510;Mediterranean Sea;;331833,6257;331833,6257;1873031336;0
690;169,8938026;690;315;;;180;;5,3681626;;;0,000300833;0,000964209;0,000663376;690;46,25;8,5;0,054545455;0,16233766;0,039370079;0,139548023;0,425460637;0,001429698;0,022801184;0,293214218;0,14081146;0,20932204;0,62256104;0,05840299;0,016586881;POINT (8.5 46.25);37;328,55397;101464,5822;Po;510;Mediterranean Sea;;101464,5822;101464,5822;328553970;0
691;102,0072077;691;315;;;180;;4,182645;;;0,000115705;0,001581302;0,001465597;691;46,25;8,75;0,02097902;0,26623377;0,026246719;0,203846154;0,385140258;0,000340185;0,037814889;0,293214218;0,09307876;0,30576923;0,4704623;0,013896499;0,031696063;POINT (8.75 46.25);38;591,94146;140511,4567;Po;510;Mediterranean Sea;;140511,4567;140511,4567;591941460;0
693;88,33814201;693;135;;;180;315;3,4150753;;;4,6282E-05;0,001882135;0,001835853;693;46,25;9,25;0,008391609;0,31688312;0,032808399;0,239183673;0,385335019;0,000357228;0,032637607;0,293214218;0,11694511;0,3587755;0,47119698;0,014592732;0,026485857;POINT (9.25 46.25);44;475,833961;120353,3383;Po;510;Mediterranean Sea;;120353,3383;120353,3383;475833961;0
