Nodo	dominant_outward_orientation_1	dominant_outward_orientation_2	dominant_outward_orientation_3	dominant_inward_orientation_1	dominant_inward_orientation_2	dist_dominant_outward_1	dist_dominant_outward_2	dist_dominant_outward_3	InStrength	OutStrength	NetworkDivergence	id	lat	lon	normal_InStrength	normal_OutStrength	DegreeCentrality	Clustering	ClosenessCentrality	BetweennessCentrality	StructuralHolesConstraint	global_clustering	normal_Degree	normal_Clustering	normal_ClosenessCentrality	normal_BetweennessCentrality	normal_StructuralHolesConstraint
1	270			315		3.7302902			.0013653193458809	.0005013884603517	-.0008639308855292	1	49	4	.24755245	.084415585	.0380577427821522	.2698124621899576	.3791044776119403	.0003890041903944	.0248085626526807	.293214218035591	.13603818	.4047187	.44769379	.015890772	.018607026
2	270			315		4.8014517			.0009102128972539	.0004088244369022	-.0005013884603517	2	49	4.25	.16503496	.068831168	.0426509186351706	.2480769230769231	.3832034196630626	.0003131100922373	.0221046408103267	.293214218035591	.15274464	.37211537	.46315604	.012790507	.015885908
3	270	315		315		5.686832	8.8309422		.0009102128972539	.0005399568034557	-.0003702560937982	3	49	4.5	.16503496	.090909094	.020997375328084	.3104838709677419	.3620812544547398	.0000562956247025	.0432467239468132	.293214218035591	.073985681	.46572581	.38347784	.002299669	.037162442
4	315			315		9.1679888			.0005553841406973	.0009102128972539	.0003548287565566	4	49	4.75	.1006993	.15324676	.0203412073490814	.346236559139785	.3645060990193734	.0000265237404136	.0413895398465217	.293214218035591	.071599044	.51935482	.39262497	.0010834914	.035293445
5	270			315		4.1877499			.0004473927800062	.0009796359148411	.0005322431348349	5	49	5	.081118882	.16493507	.0183727034120735	.3809523809523809	.3585038814396613	.0000166126250396	.0463482375533917	.293214218035591	.06443914	.5714286	.36998308	.00067862356	.040283676
6	270			315		4.3443599			.0004396791113854	.0010182042579451	.0005785251465597	6	49	5.25	.079720281	.17142858	.0177165354330709	.3703703703703703	.3584195672624647	.0000153548098875	.0469810728341881	.293214218035591	.062052507	.55555558	.36966503	.00062724203	.040920537
7	270			315		4.7862005			.0008176488738044	.0011570502931194	.000339401419315	7	49	5.5	.14825174	.19480519	.0183727034120735	.3412698412698413	.3532684283727399	.0000278331973717	.0462986890045789	.293214218035591	.06443914	.51190478	.35023361	.0011369825	.040233813
8	315			315		11.534163			.0008947855600123	.0005013884603517	-.0003933970996606	8	49	5.75	.16223776	.084415585	.0328083989501312	.3551020408163265	.3731635651322233	.00011064698797	.0299991218424199	.293214218035591	.11694511	.53265303	.42528313	.0045199152	.023830593
9	225			315		3.6538241			.0011493366244986	.0004396791113854	-.0007096575131132	9	49	6	.20839161	.074025974	.0433070866141732	.3151515151515151	.3760177646188009	.000375654265403	.024845344362488	.293214218035591	.15513127	.47272727	.43604991	.015345428	.01864404
10	225			315		3.6728718			.0009796359148411	.0010567726010491	.000077136686208	10	49	6.25	.17762238	.17792208	.041994750656168	.2073412698412699	.3965651834504293	.0006035135798791	.022540975177849	.293214218035591	.15035799	.31101191	.51356	.024653452	.016325017
